DNo., Day,DD,MMM,YYYY,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Ball 6,Bonus ball,   Jackpot, Wins,   Machine  ,Set
2481, Wed, 2,Oct,2019, 13,15,20,37,42,47,49,   5164870,    0,   Arthur   ,  6 
2480, Sat,28,Sep,2019, 02,19,21,23,29,42,26,   3800000,    0,   Arthur   ,  5 
2479, Wed,25,Sep,2019, 03,04,16,39,43,52,47,  12907599,    0,   Arthur   ,  5 
2478, Sat,21,Sep,2019, 18,23,32,33,34,41,54,  11043941,    0,   Merlin   ,  8 
2477, Wed,18,Sep,2019, 01,25,28,34,39,57,50,   8712337,    0,   Merlin   ,  8 
2476, Sat,14,Sep,2019, 06,10,14,19,26,43,28,   7274140,    0,   Merlin   ,  7 
2475, Wed,11,Sep,2019, 04,09,26,35,38,53,30,   5113347,    0,   Merlin   ,  7 
2474, Sat, 7,Sep,2019, 03,13,27,30,32,37,08,   3800000,    0,   Arthur   ,  6 
2473, Wed, 4,Sep,2019, 11,13,32,40,45,49,39,  12852503,    0,   Arthur   ,  6 
2472, Sat,31,Aug,2019, 05,10,16,26,41,58,15,  11058820,    0,   Arthur   ,  5 
2471, Wed,28,Aug,2019, 01,40,41,49,52,57,43,   8736316,    0,   Arthur   ,  5 
2470, Sat,24,Aug,2019, 27,36,39,45,46,55,38,   7360035,    0,   Merlin   ,  4 
2469, Wed,21,Aug,2019, 11,14,26,51,53,58,30,   5096106,    0,   Merlin   ,  4 
2468, Sat,17,Aug,2019, 06,09,10,41,46,58,45,   3800000,    0,   Merlin   ,  3 
2467, Wed,14,Aug,2019, 14,16,24,28,30,53,23,  12675909,    0,   Merlin   ,  3 
2466, Sat,10,Aug,2019, 05,08,09,17,23,29,49,  10861287,    0,   Arthur   ,  2 
2465, Wed, 7,Aug,2019, 07,11,36,44,52,58,31,   8607863,    0,   Arthur   ,  2 
2464, Sat, 3,Aug,2019, 08,30,34,44,45,57,31,   7207889,    0,   Arthur   ,  1 
2463, Wed,31,Jul,2019, 09,18,20,42,43,46,30,   5070482,    0,   Arthur   ,  1 
2462, Sat,27,Jul,2019, 14,19,30,45,48,58,03,   3800000,    0,   Merlin   ,  4 
2461, Wed,24,Jul,2019, 02,04,17,28,37,45,22,   5067046,    1,   Merlin   ,  4 
2460, Sat,20,Jul,2019, 14,18,23,28,36,37,32,   3800000,    0,   Merlin   ,  3 
2459, Wed,17,Jul,2019, 05,08,40,41,43,45,23,  12500333,    0,   Merlin   ,  3 
2458, Sat,13,Jul,2019, 18,25,29,32,35,58,12,  10751044,    0,   Arthur   ,  2 
2457, Wed,10,Jul,2019, 04,10,11,17,53,54,06,   8512227,    0,   Arthur   ,  2 
2456, Sat, 6,Jul,2019, 24,30,44,50,56,57,09,   7161130,    0,   Arthur   ,  1 
2455, Wed, 3,Jul,2019, 10,20,27,29,38,52,57,   5068385,    0,   Arthur   ,  1 
2454, Sat,29,Jun,2019, 11,32,43,44,47,52,27,   3800000,    0,   Merlin   ,  4 
2453, Wed,26,Jun,2019, 05,07,09,24,32,44,38,  12497210,    0,   Merlin   ,  4 
2452, Sat,22,Jun,2019, 06,09,17,32,44,57,11,  10756674,    0,   Merlin   ,  3 
2451, Wed,19,Jun,2019, 22,26,31,39,47,55,35,   8513030,    0,   Merlin   ,  3 
2450, Sat,15,Jun,2019, 07,40,42,47,52,54,29,   7154203,    0,  Guinevere ,  2 
2449, Wed,12,Jun,2019, 06,16,34,36,37,53,50,   5053365,    0,  Guinevere ,  2 
2448, Sat, 8,Jun,2019, 12,13,22,37,42,55,43,   3800000,    0,  Guinevere ,  1 
2447, Wed, 5,Jun,2019, 11,20,23,32,33,56,25,   2000000,    1,  Guinevere ,  1 
2446, Sat, 1,Jun,2019, 08,26,36,39,40,47,42,   3800000,    1,  Guinevere ,  5 
2445, Wed,29,May,2019, 03,15,27,32,46,53,57,   2000000,    1,  Guinevere ,  1 
2444, Sat,25,May,2019, 05,09,26,35,43,54,24,   4085154,    1,  Lancelot  ,  6 
2443, Wed,22,May,2019, 07,27,31,36,37,50,18,   2000000,    0,  Guinevere ,  8 
2442, Sat,18,May,2019, 07,22,23,26,31,54,03,  11708252,    0,  Lancelot  ,  7 
2441, Wed,15,May,2019, 08,11,18,39,44,50,23,   9288519,    0,  Guinevere ,  5 
2440, Sat,11,May,2019, 13,14,19,45,49,55,24,   7861134,    0,  Guinevere ,  6 
2439, Wed, 8,May,2019, 16,19,31,35,45,56,59,   5656449,    0,  Lancelot  ,  8 
2438, Sat, 4,May,2019, 16,17,35,39,40,55,41,   4383861,    0,  Guinevere ,  5 
2437, Wed, 1,May,2019, 10,12,23,29,35,57,09,   2000000,    0,  Guinevere ,  5 
2436, Sat,27,Apr,2019, 01,07,26,34,52,53,10,  11396192,    0,  Guinevere ,  7 
2435, Wed,24,Apr,2019, 22,29,35,41,43,51,42,   8964024,    0,  Guinevere ,  6 
2434, Sat,20,Apr,2019, 07,08,11,17,34,54,04,   7531166,    0,  Lancelot  ,  8 
2433, Wed,17,Apr,2019, 08,23,28,42,43,51,52,   5378892,    0,  Guinevere ,  7 
2432, Sat,13,Apr,2019, 04,10,15,24,37,38,30,   4096661,    0,  Lancelot  ,  6 
2431, Wed,10,Apr,2019, 20,22,36,42,48,49,30,   2000000,    0,  Guinevere ,  6 
2430, Sat, 6,Apr,2019, 05,08,22,33,36,43,21,  11399990,    1,  Guinevere ,  8 
2429, Wed, 3,Apr,2019, 05,09,17,26,35,52,44,   9013509,    0,  Guinevere ,  6 
2428, Sat,30,Mar,2019, 03,27,35,45,54,55,24,   7604094,    0,  Lancelot  ,  7 
2427, Wed,27,Mar,2019, 13,18,25,35,39,50,21,   5391107,    0,  Lancelot  ,  8 
2426, Sat,23,Mar,2019, 06,26,30,50,52,59,27,   4119911,    0,  Lancelot  ,  5 
2425, Wed,20,Mar,2019, 02,19,35,53,56,58,12,   2000000,    0,  Guinevere ,  7 
2424, Sat,16,Mar,2019, 06,26,32,37,42,59,38,   3800000,    1,  Lancelot  ,  8 
2423, Wed,13,Mar,2019, 01,11,29,40,46,48,17,  12984966,    0,  Guinevere ,  5 
2422, Sat, 9,Mar,2019, 22,27,35,40,46,52,02,  11252974,    0,  Guinevere ,  7 
2421, Wed, 6,Mar,2019, 02,12,15,43,46,53,17,   8876514,    0,  Lancelot  ,  6 
2420, Sat, 2,Mar,2019, 04,08,16,19,33,45,54,   7379371,    0,  Lancelot  ,  7 
2419, Wed,27,Feb,2019, 19,20,22,31,51,54,16,   5143862,    0,  Guinevere ,  5 
2418, Sat,23,Feb,2019, 06,09,38,40,42,48,57,   3800000,    0,  Lancelot  ,  8 
2417, Wed,20,Feb,2019, 03,11,17,33,41,51,48,  18448180,    0,  Lancelot  ,  6 
2416, Sat,16,Feb,2019, 11,15,18,43,46,51,12,  16502197,    0,  Lancelot  ,  5 
2415, Wed,13,Feb,2019, 04,08,26,31,42,45,55,  14000000,    0,  Lancelot  ,  6 
2414, Sat, 9,Feb,2019, 25,27,31,36,38,47,12,   7369767,    0,  Lancelot  ,  7 
2413, Wed, 6,Feb,2019, 03,16,24,41,44,53,15,   5116445,    0,  Guinevere ,  6 
2412, Sat, 2,Feb,2019, 01,06,41,53,55,59,20,   3800000,    0,  Lancelot  ,  6 
2411, Wed,30,Jan,2019, 07,22,31,43,47,58,02,  12950857,    0,  Guinevere ,  8 
2410, Sat,26,Jan,2019, 29,40,42,47,51,56,45,  11202778,    0,  Lancelot  ,  7 
2409, Wed,23,Jan,2019, 05,27,30,41,45,58,38,   8792887,    0,  Guinevere ,  5 
2408, Sat,19,Jan,2019, 11,15,17,22,31,52,45,   7361168,    0,  Guinevere ,  8 
2407, Wed,16,Jan,2019, 01,12,44,48,54,55,08,   5107726,    0,  Guinevere ,  7 
2406, Sat,12,Jan,2019, 13,29,32,43,49,55,26,   3800000,    0,  Guinevere ,  2 
2405, Wed, 9,Jan,2019, 03,17,36,42,51,57,18,   9370844,    1,  Lancelot  ,  5 
2404, Sat, 5,Jan,2019, 18,25,27,28,32,47,06,   7835827,    0,  Guinevere ,  4 
2403, Wed, 2,Jan,2019, 08,09,10,35,40,53,21,   5502058,    0,  Lancelot  ,  1 
2402, Sat,29,Dec,2018, 26,31,38,40,45,57,28,   4142191,    0,  Lancelot  ,  3 
2401, Wed,26,Dec,2018, 07,14,35,45,54,58,01,   2000000,    0,  Guinevere ,  2 
2400, Sat,22,Dec,2018, 04,15,17,24,32,56,31,   7500000,    2,  Lancelot  ,  4 
2399, Wed,19,Dec,2018, 12,24,33,34,39,56,38,   5341733,    0,  Guinevere ,  1 
2398, Sat,15,Dec,2018, 05,26,34,35,43,49,19,   4057861,    0,  Guinevere ,  4 
2397, Wed,12,Dec,2018, 03,22,31,46,51,59,53,   2000000,    0,  Lancelot  ,  3 
2396, Sat, 8,Dec,2018, 06,23,36,38,43,48,17,   3807614,    2,  Lancelot  ,  2 
2395, Wed, 5,Dec,2018, 01,06,13,23,45,56,41,   5411352,    0,  Lancelot  ,  2 
2394, Sat, 1,Dec,2018, 05,08,09,12,31,49,57,   4090254,    0,  Guinevere ,  1 
2393, Wed,28,Nov,2018, 36,39,45,46,48,52,38,   2000000,    0,  Guinevere ,  3 
2392, Sat,24,Nov,2018, 15,27,30,32,42,43,10,   4084955,    1,  Lancelot  ,  4 
2391, Wed,21,Nov,2018, 24,31,35,42,46,53,09,   2000000,    0,  Guinevere ,  1 
2390, Sat,17,Nov,2018, 04,05,09,12,17,42,32,   2627216,    2,  Lancelot  ,  3 
2389, Wed,14,Nov,2018, 04,11,20,45,48,53,16,   1928401,    0,  Lancelot  ,  4 
2388, Sat,10,Nov,2018, 07,12,17,38,42,44,53,   2358426,    4,  Lancelot  ,  2 
2387, Wed, 7,Nov,2018, 04,05,09,40,46,59,58,   6645866,    0,  Guinevere ,  1 
2386, Sat, 3,Nov,2018, 16,31,41,45,47,52,53,   5177188,    0,  Guinevere ,  2 
2385, Wed,31,Oct,2018, 05,14,20,24,28,45,21,   1900729,    0,  Lancelot  ,  3 
2384, Sat,27,Oct,2018, 01,06,25,26,31,39,56,  16543093,    1,  Guinevere ,  1 
2383, Wed,24,Oct,2018, 09,22,32,40,51,59,17,  14098451,    0,  Lancelot  ,  2 
2382, Sat,20,Oct,2018, 12,18,40,42,46,59,49,  12447858,    0,  Lancelot  ,  4 
2381, Wed,17,Oct,2018, 01,05,06,20,51,54,56,   9590134,    0,  Guinevere ,  3 
2380, Sat,13,Oct,2018, 19,26,40,52,56,58,38,   8130368,    0,  Guinevere ,  1 
2379, Wed,10,Oct,2018, 10,49,50,53,54,56,04,   5382585,    0,  Lancelot  ,  4 
2378, Sat, 6,Oct,2018, 23,26,30,32,37,39,05,   3377130,    0,  Lancelot  ,  3 
2377, Wed, 3,Oct,2018, 03,05,11,25,27,45,18,  26364533,    0,  Lancelot  ,  2 
2376, Sat,29,Sep,2018, 17,36,40,44,54,58,27,  24284997,    0,  Guinevere ,  4 
2375, Wed,26,Sep,2018, 03,08,37,39,47,59,42,  21555697,    0,  Lancelot  ,  3 
2374, Sat,22,Sep,2018, 05,16,18,20,25,55,36,  20125455,    0,  Lancelot  ,  4 
2373, Wed,19,Sep,2018, 07,20,25,26,34,40,59,  17572057,    0,  Lancelot  ,  1 
2372, Sat,15,Sep,2018, 25,42,48,50,55,58,44,  16447318,    0,  Lancelot  ,  2 
2371, Wed,12,Sep,2018, 11,12,13,14,54,56,36,  13945461,    0,  Guinevere ,  3 
2370, Sat, 8,Sep,2018, 07,19,33,34,52,53,48,  12308430,    0,   Merlin   ,  1 
2369, Wed, 5,Sep,2018, 12,18,22,23,48,59,47,   9394412,    0,   Merlin   ,  4 
2368, Sat, 1,Sep,2018, 03,21,22,38,46,55,50,   7852229,    0,   Arthur   ,  2 
2367, Wed,29,Aug,2018, 19,23,30,50,51,54,55,   5055854,    0,   Arthur   ,  1 
2366, Sat,25,Aug,2018, 09,22,33,39,41,56,48,   3187258,    0,   Arthur   ,  3 
2365, Wed,22,Aug,2018, 15,20,21,25,34,47,36,   6685121,    1,   Merlin   ,  6 
2364, Sat,18,Aug,2018, 01,02,06,12,13,55,11,   5188105,    0,   Merlin   ,  8 
2363, Wed,15,Aug,2018, 03,28,34,41,48,58,54,   1960095,    0,   Arthur   ,  7 
2362, Sat,11,Aug,2018, 01,03,10,18,19,37,57,  13922705,    1,   Arthur   ,  6 
2361, Wed, 8,Aug,2018, 08,19,20,27,31,34,07,  10956094,    0,   Arthur   ,  5 
2360, Sat, 4,Aug,2018, 05,17,23,25,34,51,52,   9309088,    0,   Arthur   ,  7 
2359, Wed, 1,Aug,2018, 15,17,18,34,46,54,04,   6457803,    0,   Arthur   ,  8 
2358, Sat,28,Jul,2018, 11,29,31,32,38,45,10,   4997402,    0,   Arthur   ,  5 
2357, Wed,25,Jul,2018, 05,19,20,23,30,43,06,   1827083,    0,   Arthur   ,  7 
2356, Sat,21,Jul,2018, 09,13,16,25,40,46,52,   7748131,    1,   Arthur   ,  6 
2355, Wed,18,Jul,2018, 22,34,44,49,51,53,33,   5063895,    0,   Merlin   ,  8 
2354, Sat,14,Jul,2018, 04,08,13,26,41,55,58,   3115342,    0,   Merlin   ,  5 
2353, Wed,11,Jul,2018, 08,11,17,25,33,46,13,  10596472,    1,   Merlin   ,  7 
2352, Sat, 7,Jul,2018, 17,18,29,48,52,54,01,   9056210,    0,   Merlin   ,  8 
2351, Wed, 4,Jul,2018, 08,13,22,46,52,58,07,   6417197,    0,   Arthur   ,  7 
2350, Sat,30,Jun,2018, 06,28,32,45,46,49,50,   4986777,    0,   Merlin   ,  7 
2349, Wed,27,Jun,2018, 04,41,45,54,57,58,26,   1899524,    0,   Merlin   ,  5 
2348, Sat,23,Jun,2018, 01,10,15,25,31,47,53,  17196314,    1,   Merlin   ,  6 
2347, Wed,20,Jun,2018, 15,22,26,35,41,43,01,  14768674,    0,   Merlin   ,  8 
2346, Sat,16,Jun,2018, 10,18,36,37,41,46,08,  13641074,    0,   Merlin   ,  5 
2345, Wed,13,Jun,2018, 05,15,22,33,38,45,11,  10785901,    0,   Arthur   ,  6 
2344, Sat, 9,Jun,2018, 03,17,20,55,56,58,57,   9267495,    0,   Arthur   ,  8 
2343, Wed, 6,Jun,2018, 12,22,31,35,42,58,55,   6501413,    0,   Arthur   ,  5 
2342, Sat, 2,Jun,2018, 04,32,38,43,51,58,10,   5085086,    0,   Arthur   ,  6 
2341, Wed,30,May,2018, 04,05,08,26,32,39,16,   1816584,    0,   Arthur   ,  5 
2340, Sat,26,May,2018, 09,14,19,29,39,40,03,   4603805,    2,   Arthur   ,  7 
2339, Wed,23,May,2018, 01,15,17,32,36,45,05,   6438596,    0,   Arthur   ,  8 
2338, Sat,19,May,2018, 01,03,34,36,48,52,22,   5057464,    0,   Arthur   ,  6 
2337, Wed,16,May,2018, 04,22,26,32,48,54,57,   1909658,    0,   Arthur   ,  7 
2336, Sat,12,May,2018, 01,15,21,30,35,44,05,  21044592,    1,   Arthur   ,  8 
2335, Wed, 9,May,2018, 18,21,25,30,56,59,05,  18418082,    0,   Arthur   ,  6 
2334, Sat, 5,May,2018, 02,09,14,49,52,56,41,  17250153,    0,   Merlin   ,  6 
2333, Wed, 2,May,2018, 04,08,10,26,38,48,41,  14638953,    0,   Merlin   ,  5 
2332, Sat,28,Apr,2018, 03,11,37,38,43,44,20,  13477493,    0,   Arthur   ,  8 
2331, Wed,25,Apr,2018, 05,14,18,40,41,50,12,  10509160,    0,   Merlin   ,  7 
2330, Sat,21,Apr,2018, 02,08,09,12,20,57,38,   8949271,    0,   Arthur   ,  5 
2329, Wed,18,Apr,2018, 04,11,21,39,41,59,58,   6265709,    0,   Arthur   ,  7 
2328, Sat,14,Apr,2018, 10,40,42,46,47,48,38,   4933456,    0,   Arthur   ,  8 
2327, Wed,11,Apr,2018, 21,25,32,52,56,59,28,   1795273,    0,   Arthur   ,  6 
2326, Sat, 7,Apr,2018, 01,04,31,33,52,55,13,   9561853,    1,   Merlin   ,  1 
2325, Wed, 4,Apr,2018, 01,09,15,26,38,43,14,   6664434,    0,   Arthur   ,  5 
2324, Sat,31,Mar,2018, 06,08,20,26,35,36,39,   5199304,    0,   Merlin   ,  2 
2323, Wed,28,Mar,2018, 02,06,07,15,52,54,45,   1855785,    0,   Arthur   ,  3 
2322, Sat,24,Mar,2018, 03,11,16,36,43,59,49,   9339858,    1,   Arthur   ,  1 
2321, Wed,21,Mar,2018, 02,35,44,51,54,55,45,   6530267,    0,   Merlin   ,  4 
2320, Sat,17,Mar,2018, 07,08,13,24,45,46,39,   5060421,    0,   Arthur   ,  2 
2319, Wed,14,Mar,2018, 07,19,38,45,47,53,15,   1813255,    0,   Arthur   ,  3 
2318, Sat,10,Mar,2018, 03,07,36,42,53,59,50,   7988062,    1,   Arthur   ,  2 
2317, Wed, 7,Mar,2018, 08,10,22,37,55,57,29,   5120878,    0,   Merlin   ,  4 
2316, Sat, 3,Mar,2018, 15,19,20,29,42,50,36,   3183498,    0,   Arthur   ,  3 
2315, Wed,28,Feb,2018, 09,10,27,30,33,45,29,   6700919,    1,   Merlin   ,  2 
2314, Sat,24,Feb,2018, 02,11,35,40,48,55,07,   5283524,    0,   Merlin   ,  1 
2313, Wed,21,Feb,2018, 14,25,29,30,35,53,38,   1957996,    0,   Merlin   ,  4 
2312, Sat,17,Feb,2018, 05,08,09,10,38,53,56,  18139352,    1,  Lancelot  ,  4 
2311, Wed,14,Feb,2018, 02,08,33,46,48,50,05,  15575114,    0,  Guinevere ,  3 
2310, Sat,10,Feb,2018, 03,12,15,29,51,58,13,  14449368,    0,  Guinevere ,  1 
2309, Wed, 7,Feb,2018, 05,19,29,34,40,45,57,  11404833,    0,  Guinevere ,  2 
2308, Sat, 3,Feb,2018, 08,26,27,29,49,58,38,   9825247,    0,  Guinevere ,  2 
2307, Wed,31,Jan,2018, 05,19,21,42,44,57,18,   6851294,    0,  Lancelot  ,  3 
2306, Sat,27,Jan,2018, 29,33,43,45,49,56,16,   5351174,    0,  Guinevere ,  4 
2305, Wed,24,Jan,2018, 01,22,39,44,48,59,05,   1992347,    0,  Guinevere ,  1 
2304, Sat,20,Jan,2018, 02,10,19,28,29,31,47,   8613200,    2,  Guinevere ,  3 
2303, Wed,17,Jan,2018, 30,33,37,43,55,56,46,  14643856,    0,  Lancelot  ,  4 
2302, Sat,13,Jan,2018, 06,07,09,18,35,46,05,  12937095,    0,  Lancelot  ,  1 
2301, Wed,10,Jan,2018, 06,11,27,29,40,55,45,   9933511,    0,  Lancelot  ,  2 
2300, Sat, 6,Jan,2018, 18,28,31,32,44,51,50,   8337171,    0,  Lancelot  ,  4 
2299, Wed, 3,Jan,2018, 11,19,20,30,35,49,44,   5421027,    0,  Lancelot  ,  1 